name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
CrossDelegateV2,0x7f70d0047Ae63131ab77F179a90F1a41CeEA93Aa,sha2-256;,Message Digest,sha2-256,0 Ether,0.4.26,1
GenArt721Minter_Flutter,0x8e80ceb80b1eea8334bf59668c07f5f52ac7251c,sha3;,Message Digest,sha3,0 Ether,0.5.17,1
Samurai2088,0xe64213B7BFBcb14c2F9CdfDD55EaBD5Aef17F6Aa,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,3
Synthopia,0x709ea840f66fb32A762908aFaE673610E169bf5a,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.10,1
MerkleDistributor,0xb7055d5ce6522fd009129f22e41db976379035d1,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,1
Minter,0x5EB8ad5467aBAf03F36a63f74FC1AC3f6a4aA757,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,30
TZKGMinter,0xe774BbaCAAD2915F3dB4d1Bb798523C610A33532,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,1
Surreal,0xBC4AEE331E970f6E7A5e91f7B911BdBFdF928A98,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,10
MineableWords,0x05fe017770d0ca164736537177e1d571d16bbade,sha3;,Message Digest,sha3,0 Ether,0.8.4,3
StudioUno,0x4834e620CFF02b44a68D416DA8a971a12228228c,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.6,91
Repo,0xa8a358e9bbb9ff60d4b89cbe5b2fe88f98b51b9d,sha3;,Message Digest,sha3,0 Ether,0.4.24,1
Dreamlands,0xe26F2c3547123B5FDaE0bfD52419D71BdFb0c4EF,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,2
MerkleDistributor,0x11ae08fC5124b244451884926baFe857316f7ccc,sha3;,Commitment(Vector),sha3,0 Ether,0.8.11,214
MerkleDistributor,0x8Cc3AD1Bc252a852d6975b0dF55DF499E0fb716d,sha3;,Commitment(Vector),sha3,0 Ether,0.6.11,732
ForeverRugs,0xa92ed7c28d1ef5a09e805365ac1d868c3326f3d3,sha3;ecrecover;,Signature,ecdsa+sha3,2.95 Ether,0.8.7,219
PPAShuttlepass,0xeba867502ef59adbd8bc73fbdb531ed9381b5f97,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,4
BAMBOO,0x4805F696E71FFC76049fE28a68f6Ded5EF0Af131,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,2
PatchworkKingdoms,0xD24a7C412f2279B1901E591898c1E96C140be8c5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,3
XRC,0x534D37C630b7e4d2A6C1E064F3a2632739e9EE04,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,1
Dogewood,0x12e526bddbb1fa8db8f27b090de13dabe0d8e990,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,1
CitaDaoProject,0x9f5a47429d263f5F6c0d3C7423364E73f6fc3174,sha3;,Commitment(Vector),sha3,6.375 Ether,0.8.9,425
MetroBlock,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,7
ERC20,0x42ca48648b355e64ef68330e1743a4FA7e310e67,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.10,1
NFTArtGenPresale,0xbBB9f8296c31c848beE8a8564Cb90F5635DB6BF5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,4
PIXELFROG,0x02f30927eB29F3f66031517bB3dE3948f32ee019,sha3;,Random Number Generator,sha3,6.09 Ether,0.8.7,128
CrabStrategy,0xf205ad80bb86ac92247638914265887a8baa437d,sha3;,Solidity(Create2),sha3,0 Ether,0.7.6,5
FunnyApeClub,0xb7c31ac2f96797518b92706654f773a466de4752,sha3;,Random Number Generator,sha3,0 Ether,0.7.6,92
GalleryTwentySeven,0x6f051b2B1765eDB6A892be7736C04AaB0468AF27,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,1
BoostPasses,0xd46550dc5cb0ff6e4d904926917fe31a73bb336f,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,4
CoolMonkeBanana,0xc6db556fd9ec09bab6dfea320e52d8476f61d424,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,3
FloorToken,0x1b8aB0b410f54aE0a24320e6188E3Ec20A6c609a,sha3;,Commitment(Vector),sha3,0 Ether,0.8.6,3
AStETH,0xbd233D4ffdAA9B7d1d3E6b18CCcb8D091142893a,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
FundDeployer,0x4f1C53F096533C04d8157EFB6Bca3eb22ddC6360,sha3;,Message Digest,sha3,0 Ether,0.6.12,5
FundDeployer,0x4f1C53F096533C04d8157EFB6Bca3eb22ddC6360,sha3;,Solidity(Selector),sha3,0 Ether,0.6.12,5
FaithMerkleAirdrop,0x1b44a9a94f2bb14eeF0ded2f0428231e358d31d7,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,25
CnRERC721,0x9e62A8DBBAf93a6992166e3a80aC15c991987bf5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.10,3
BubblesAirdrop,0x184FAe65b0D0bBbA559326FEb7D9FCC6e8f31df7,sha3;,Commitment(Vector),sha3,0 Ether,0.8.10,1
TreasureChest,0x71ac0bac4a1ad6a4b50ff51ab6b720e3be005ffe,sha3;,Random Number Generator,sha3,0 Ether,0.8.0,3
test,0x26b4c9265f5b5a367bb85c9ef048908a72c4261b,sha3;,Message Digest,sha3,0.05 Ether,0.8.7,3
Synthetix,0x97607b048aEa97A821C3EdC881aF7743f8868950,sha3;,Solidity(Selector),sha3,0 Ether,0.5.16,2
ConsoleNFT_Cyber_Upgrades,0xe5a6575a0daa9ef683fab5583e234c4a6698bf05,sha3;,Other(VRF),sha3,32.45 Ether,0.8.7,885
HeroGalaxy,0xD77e17Ecc3942B6E83F67c56999C5230c70A85a4,sha3;ecrecover;,Signature,ecdsa+sha3,66.378 Ether,0.8.11,680
DoodlesCats,0x203f1a71114706aAFf0911d56F5a3Ab8fF614573,sha3;,Commitment(Vector),sha3,0.0195 Ether,0.8.7,12
WavelengthXmfers,0xaec4ea20cff1897cdf8b7be329b0e2d1d49b9817,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,125
CREDITs,0x7C7828f8A3AEFcB8Bb09740845F2A085d35ee7F8,sha3;ecrecover;,Signature,ecdsa+sha3,1.52 Ether,0.8.11,23
MintablePresale,0x4Da61915800Bb27500b66849944702B5D636D4C1,sha3;,Commitment(Vector),sha3,267 Ether,0.8.11,1021
CrypTicket,0xc2cfbd487fe9c42aa5a92c222261b1ad8fdfc6f1,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,41
DeluxeGoatPublicSaleContract,0x9e4710a9745161Cd89a854ae8bfce2bC1C2B0398,sha3;,Commitment(Vector),sha3,0 Ether,0.8.12,249
PendleMerkleDistributor,0x08c317D3F9D05B84cBA33876F1DbC7617954C2F0,sha3;,Commitment(Vector),sha3,0 Ether,0.7.6,3
ERC721OrdersFeature,0x4aF649FFde640CEb34b1AfaBa3e0Bb8e9698cb01,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
ProjectRadiance,0xA55F73DA180C176AB769E124A74933C5824C3615,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.12,65
weathereport,0xd10ea170fCfd4d6f2c9FD7a596d7b0BA10A52648,sha3;,Commitment(Vector),sha3,0 Ether,0.8.0,3
RubberDuckBathParty,0x7A4D1b54dD21ddE804c18B7a830B5Bc6e586a7F6,sha3;,Commitment(Vector),sha3,0 Ether,0.8.12,2
AzukiApeSocialClub,0x813b5c4aE6b188F4581aa1dfdB7f4Aba44AA578B,sha3;,Commitment(Vector),sha3,3.6 Ether,0.8.7,85
Nefturians,0x6Ff7b79dDd9E490Bc0bbcE64a1DC37e37a6E2D71,sha3;ecrecover;,Signature,ecdsa+sha3,59.4 Ether,0.8.11,337
Nefturians,0x6Ff7b79dDd9E490Bc0bbcE64a1DC37e37a6E2D71,sha3;ecrecover;,Commitment(Vector),sha3,59.4 Ether,0.8.11,337
Nefturians,0x6Ff7b79dDd9E490Bc0bbcE64a1DC37e37a6E2D71,sha3;ecrecover;,Message Digest,sha3,59.4 Ether,0.8.11,337
CryptoShack,0x34997F9C19465eC01B7Ed2AB0E61E2a388702790,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,4
LpAccountV2,0x3EF9d849308fb714e9e87A9d9997e11a1118cFC9,sha3;,Message Digest,sha3,0 Ether,0.6.11,2
ClayFriends,0xFDe881c7B76ad10B59a82247E1cD3CBAd0d739F3,sha3;,Commitment(Vector),sha3,0 Ether,0.8.11,2
NamingConvention,0xa8184B4bFB97f6CC4868E13A9BDBa92C4931B927,sha3;ecrecover;sha2-256;,Signature,ecdsa+sha3,0 Ether,0.8.7,1
Generator,0xc87F9D93feb408E0589051c06F88B6A269c3eC19,sha3;,Random Number Generator,sha3,0 Ether,0.8.9,1
DEGENSwapPair,0x22157a7fd6f2a8ee8df4621b52b8febe83934714,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.5.16,3
cybonixnft,0xf896Bf59f0C489b11EcD2Bf223148C1196A9e717,sha3;,Commitment(Vector),sha3,33.62 Ether,0.8.11,724
VirtuousHourAirdrop,0x5Fc37a6Ae6Dd977bEBbeB2831eAd35BfB7263f76,sha3;,Commitment(Vector),sha3,0 Ether,0.8.9,87
Hatchlingz,0x581616396252a34970b8f9944d854c5181b24de7,sha3;,Message Digest,sha3,0 Ether,0.8.12,9
TheArityNFT,0xf26a035eb240de3624cf2d4071387e5be5f57f77,sha3;,Random Number Generator,sha3,76.175 Ether,0.8.0,112
TokenERC1155,0x33524da1FB4BEBAF2C9046407a6944D6E16B460F,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.12,1
FreshFools,0x40abc0be46decb904464c97ce0d804a839c70d60,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,2
Burger,0x57309C9C1F537f1DAea3aBc0b6b54561a85B596E,sha3;,Message Digest,sha3,0 Ether,0.8.6,70
Burger,0x57309C9C1F537f1DAea3aBc0b6b54561a85B596E,sha3;,Commitment(Vector),sha3,0 Ether,0.8.6,70
Random,0x7EE7a675BC5343d6a7aCa50Fc47513f437eA994C,sha3;,Random Number Generator,sha3,0 Ether,0.8.9,1
DaVinci,0x8c0ac3ce98dced91810f7b3c5b50791c8874c551,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,2389
Lottery,0x71f0afd597d1d594b57dd01a090eb64378999ea4,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,5
FraktalNFT,0x8F3D19eFE7c9e7411EC8B14e02c2699b5F669628,sha3;,Solidity(Create2),sha3,0 Ether,0.8.4,1
FraktalNFT,0x8F3D19eFE7c9e7411EC8B14e02c2699b5F669628,sha3;,Message Digest,sha3,0 Ether,0.8.4,1
IBISChessclub,0x8bf4b0da05204aa64b7c145f02520b2da54b90db,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,3
IBISChessclub,0x8bf4b0da05204aa64b7c145f02520b2da54b90db,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,3
KaijuKongz,0x582b874Af6A8D0eC283febE1988fb4A67c06e050,sha3;,Commitment(Vector),sha3,0 Ether,0.8.9,5380
ESSENCE,0xddb149ae8e6635df01a530da1e46921bd78dc385,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,1921
Staking,0xBD246BdE50bB60E9C7Aa49c38fe03E7D34Ad2137,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,1
TheArtOfSeasons,0x5bd815Fd6c096bAB38B4C6553cfce3585194dff9,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.12,3
ApolloxExchangeTreasury,0xb40eed68d7d6b3b6d6f4e93de6239b7c53efc786,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.13,4
CyberCosmosWorld,0x80b745ada7c13cb420e0a2acbcbffa033a3b5164,sha3;,Commitment(Vector),sha3,0.02 Ether,0.8.5,7
BlootComic,0xF12F0FD99e913fde707c449E488e67687ec1A7c4,sha3;,Commitment(Vector),sha3,0 Ether,0.8.9,1
MissOCoolGirls,0xbF1f5B4a8c20E9ac8B5B37616F029444BC924D41,sha3;,Commitment(Vector),sha3,1.86 Ether,0.8.9,40
WiredBeast,0x2910312A1e3e4cdf3c33dFBc88d1e1d7a22e2Bbf,sha3;,Commitment(Vector),sha3,15.35 Ether,0.8.9,152
ConcaveToken,0x000000007a58f5f58e697e51ab0357bc9e260a04,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,525
AkiStory,0xf97df1e168c27e22eedd34c05ae0615605c5dcbf,sha3;,Commitment(Vector),sha3,130.48000000000001862 Ether,0.8.9,1628
HIRegistry,0x843b1f2f2d41828a68e8ef0c4c2c04713837f05c,sha3;,Message Digest,sha3,0 Ether,0.8.4,16
KillaBears,0xc99c679C50033Bbc5321EB88752E89a93e9e83C5,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.0,3
LMAdventurers,0xCA72feCc4BDb993650654A9881F2Be15a7875796,sha3;,Commitment(Vector),sha3,128.5200000000000002 Ether,0.8.4,1087
SoulSplicers,0xfd4bfe64fea2ce11898c4b931afaf728778a90b4,sha3;,Commitment(Vector),sha3,106 Ether,0.8.7,1476
LandAuction,0x9ed0F787223FF1FeB0cFB33a9207c646d182E918,sha3;ecrecover;,Signature,ecdsa+sha3,"1,403.08578766990130628 Ether",0.8.13,4367
ContractManager,0xDA2918c2Fd86A97E09E555dE6Ca395F9414c1d94,sha3;,Message Digest,sha3,0 Ether,0.8.11,1
Token,0x469DebD4b6574c77c658eb811202EC4D438AFD91,sha3;,Commitment(Vector),sha3,0 Ether,0.8.10,338
Moonbirds,0x23581767a106ae21c074b2276D25e5C3e136a68b,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,7
Pixelinterfaces,0xdDbDDcfdec729eE7013C3038482538C03D7C62Cb,sha3;,Commitment(Vector),sha3,0 Ether,0.8.11,2
PrismBridge,0x3e387f099a15ae749dc18ad2e1238a73c9289019,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,1
tinyfaces,0xb363af6181a4335608880510772a5f61a5183c88,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,6
UrbanDogz,0xcD3718E5216bD5ad6A71fBaC30a5f9F0BA1e725c,sha3;,Commitment(Vector),sha3,12.28 Ether,0.8.8,91
DustSweeper,0x78106f7db3EbCEe3D2CFAC647f0E4c9b06683B39,sha3;ecrecover;,Signature,ecdsa+sha3,0.000209763350167707 Ether,0.8.13,5
AlphaHQ,0xD803B4357B3749b2fcCdCDf427BBBe18112A4A71,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.12,6
MetaSquareNft,0x73dD4EF6AeB1C15EEf47e0Bc48D7e9531fa85220,sha3;,Commitment(Vector),sha3,0 Ether,0.8.9,1
EtchedNFT,0x9e2ED21ba652022d00aFfe85AC3Bf7aDa7dc87a6,sha3;,Commitment(Vector),sha3,0 Ether,0.8.13,7
MadMangaFOMOStone,0x3cab982c10ca41f1a1992815b9185375c472cedc,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,1
MerkleClaimERC20,0xa73a6462af0b63bcd249a9f9bda588096a87a59b,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,4
MerkleClaimERC20,0xa73a6462af0b63bcd249a9f9bda588096a87a59b,sha3;ecrecover;,Commitment(Vector),sha3,0 Ether,0.8.7,4
NFTXStakingZap,0xdc774d5260ec66e5dd4627e1dd800eff3911345c,sha3;,Solidity(Create2),sha3,0 Ether,0.8.4,3
NohowSquad,0x76A9c69C6491Ca42af9FeE3baa5A5de6d1eeFbe4,sha3;,Commitment(Vector),sha3,6.12 Ether,0.8.7,42
ForeverBots,0x430bb202bef7a2d067cd3851b681edfa78d04ee2,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,3
DawsWorld,0x86c7e85F292181A54100a7a438fE00df174276D6,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,1
Boneheadz,0x010a45801ee731e016aaaa68ee570b9950be0e37,sha3;,Commitment(Vector),sha3,0 Ether,0.8.13,2
TheCryptomasksProject,0xB45D21DC0c1cf275F790B668c3ae09Ac5677B740,sha3;,Random Number Generator,sha3,0 Ether,0.8.13,33
TheCryptomasksProject,0xB45D21DC0c1cf275F790B668c3ae09Ac5677B740,sha3;,Commitment(Vector),sha3,0 Ether,0.8.13,33
DickheadsClub,0xef4Dd4ea7FAafb912D93236A79981A3F56fe2F15,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,2
TombRaid,0x6bf3493b0c9be88ec087cffb084b2801c58a4f11,sha3;,Random Number Generator,sha3,10.585 Ether,0.8.13,2280
PandaClaim,0x8f775b85481146D88ced819F95B44c38F333617B,sha3;,Commitment(Vector),sha3,0 Ether,0.8.6,4
NFTStaking,0x6DffB6415c96EC393Bf018fB824934d7b5B637a0,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.9,3
NFTStaking,0x6DffB6415c96EC393Bf018fB824934d7b5B637a0,sha3;ecrecover;,Commitment(Vector),sha3,0 Ether,0.8.9,3
RealVisionProCryptoGenesis,0x76236B6f13F687D0bbeDbbCe0e30e9F07d071C1C,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.13,3
RealVisionProCryptoGenesis,0x76236B6f13F687D0bbeDbbCe0e30e9F07d071C1C,sha3;ecrecover;,Message Digest,sha3,0 Ether,0.8.13,3
UASISCorp,0x22d8D30D75510f442980F41A54af7b6c52dbf8D7,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,90
AccessControlledOffchainAggregator,0x381336FF72eDBEE5ec8B8C52480bAc5D658d514a,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,3
LDRToken,0xFD43D1dA000558473822302e1d44D81dA2e4cC0d,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.13,37
KithFriendsMinter,0xCA2f620557C98DF4a9A11d056A516Ad65fe90134,sha3;,Commitment(Vector),sha3,250.5 Ether,0.8.9,426
Buzzies,0x2308742AA28CC460522fF855d24A365f99DeBA7b,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.13,2056
BLONKSmain,0x7f463b874eC264dC7BD8C780f5790b4Fc371F11f,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,8
FoldedFaces,0xf01DfAC37DD149Cb686E05d06cd21930B011F10F,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,13
FoldedFaces,0xf01DfAC37DD149Cb686E05d06cd21930B011F10F,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,13
HapeWives,0x30856ac72435c4a741a307a07c3b700c04f2dcc4,sha3;,Commitment(Vector),sha3,39.5 Ether,0.8.7,445
ICHIVault,0x683F081DBC729dbD34AbaC708Fa0B390d49F1c39,sha3;,Solidity(Create2),sha3,0 Ether,0.7.6,12
ICHIVault,0x683F081DBC729dbD34AbaC708Fa0B390d49F1c39,sha3;,Message Digest,sha3,0 Ether,0.7.6,12
FenixLabsPass,0xf02EDAdfe0ccf03d59A70d621D2DAE8984a0B672,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,4
MarginEngine,0x10bF33cBddDcFCA2C2D8cCF3D339ac34215f6375,sha3;,Message Digest,sha3,0 Ether,0.8.9,1
FluffyFucksV3,0x649b415dad8acc3571fbcbb5d174c94271ea71ce,sha3;,Commitment(Vector),sha3,0 Ether,0.8.13,7
ForTheCulture,0x2e541cec5cb41e7678ac3c8e91acb3fc1db0da07,sha3;,Commitment(Vector),sha3,25.404404933712031598 Ether,0.8.4,7907
StandardVerifier,0x07528C46A34d16E4FB7Cfa9Db7333C521bEc8eA2,sha3;modexp;ecadd;ecmul;ecpairing;,Zero knowledge Proof,Plonk,0 Ether,0.8.10,1
MerkleAirdrop,0x1E06B4E9309F5e664B19a5179966ba5Dbd903Bec,sha3;,Commitment(Vector),sha3,0 Ether,0.8.2,548
MetaBucks2,0xB6bd46621C3085b7882937A84016BE949B6FdD8C,sha3;ecrecover;,Commitment(Vector),sha3,0 Ether,0.8.14,3
MetaBucks2,0xB6bd46621C3085b7882937A84016BE949B6FdD8C,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.14,3
Dialoger,0xaed3311bbdea39956c8b02ef01b30bb9719e63f6,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,150
ParallaxGenesis,0xEecd1C042C378676ee1985dd66481b2589a809F9,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.10,5
CloudyMe,0x3738f608b685320ea3f41254a5e0ca0dc4624617,sha3;ecrecover;,Message Digest,sha3,1.9085 Ether,0.8.7,3388
CloudyMe,0x3738f608b685320ea3f41254a5e0ca0dc4624617,sha3;ecrecover;,Signature,ecdsa+sha3,1.9085 Ether,0.8.7,3388
MetaAngelsAdobeAir,0x9B6dB880376D0dbbcADEA88f7C9baC253B2308c5,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.12,100
MetaAngelsAdobeAir,0x9B6dB880376D0dbbcADEA88f7C9baC253B2308c5,sha3;ecrecover;,Commitment(Vector),sha3,0 Ether,0.8.12,100
